track_id,track_name,artist_id,artist_name,popularity,features
18hPvq4l7aiolR6NenxBz6,Love Letter,4eMIZNb3qBMQXkfwCaA31H,Anthony Lazaro,43,"{'danceability': 0.639, 'energy': 0.295, 'key': 6, 'loudness': -14.605, 'mode': 0, 'speechiness': 0.0387, 'acousticness': 0.839, 'instrumentalness': 3.28e-06, 'liveness': 0.108, 'valence': 0.406, 'tempo': 114.875, 'type': 'audio_features', 'id': '18hPvq4l7aiolR6NenxBz6', 'uri': 'spotify:track:18hPvq4l7aiolR6NenxBz6', 'track_href': 'https://api.spotify.com/v1/tracks/18hPvq4l7aiolR6NenxBz6', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/18hPvq4l7aiolR6NenxBz6', 'duration_ms': 205957, 'time_signature': 3}"
7mFj0LlWtEJaEigguaWqYh,Sweetest Pie,181bsRPaVXVlUKXrxwZfHK,Megan Thee Stallion,70,"{'danceability': 0.814, 'energy': 0.628, 'key': 7, 'loudness': -7.178, 'mode': 1, 'speechiness': 0.221, 'acousticness': 0.167, 'instrumentalness': 0, 'liveness': 0.101, 'valence': 0.677, 'tempo': 123.977, 'type': 'audio_features', 'id': '7mFj0LlWtEJaEigguaWqYh', 'uri': 'spotify:track:7mFj0LlWtEJaEigguaWqYh', 'track_href': 'https://api.spotify.com/v1/tracks/7mFj0LlWtEJaEigguaWqYh', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7mFj0LlWtEJaEigguaWqYh', 'duration_ms': 201334, 'time_signature': 4}"
2kf6JUfyPIvTi63HmDu4VV,Dark Room,03fLoIOO015incUitpfkad,Michele Morrone,46,"{'danceability': 0.833, 'energy': 0.727, 'key': 10, 'loudness': -6.918, 'mode': 0, 'speechiness': 0.195, 'acousticness': 0.0155, 'instrumentalness': 0.00692, 'liveness': 0.295, 'valence': 0.532, 'tempo': 137.777, 'type': 'audio_features', 'id': '2kf6JUfyPIvTi63HmDu4VV', 'uri': 'spotify:track:2kf6JUfyPIvTi63HmDu4VV', 'track_href': 'https://api.spotify.com/v1/tracks/2kf6JUfyPIvTi63HmDu4VV', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2kf6JUfyPIvTi63HmDu4VV', 'duration_ms': 184760, 'time_signature': 4}"
51ANptY7ldB1vK3v61gile,10월의 어느 멋진 날에,2V0fwt93cxn5Zsz9CBq8Ez,김동규,16,"{'danceability': 0.203, 'energy': 0.257, 'key': 8, 'loudness': -12.566, 'mode': 1, 'speechiness': 0.0328, 'acousticness': 0.973, 'instrumentalness': 0.37, 'liveness': 0.103, 'valence': 0.182, 'tempo': 174.893, 'type': 'audio_features', 'id': '51ANptY7ldB1vK3v61gile', 'uri': 'spotify:track:51ANptY7ldB1vK3v61gile', 'track_href': 'https://api.spotify.com/v1/tracks/51ANptY7ldB1vK3v61gile', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/51ANptY7ldB1vK3v61gile', 'duration_ms': 236266, 'time_signature': 4}"
2lS7EowakQLS1NkRj0acbM,You Are Mine,0ziR2zN0NFcB4x1G3P8cW3,VICTON,45,"{'danceability': 0.7, 'energy': 0.844, 'key': 1, 'loudness': -3.079, 'mode': 0, 'speechiness': 0.0358, 'acousticness': 0.109, 'instrumentalness': 0, 'liveness': 0.107, 'valence': 0.673, 'tempo': 110.032, 'type': 'audio_features', 'id': '2lS7EowakQLS1NkRj0acbM', 'uri': 'spotify:track:2lS7EowakQLS1NkRj0acbM', 'track_href': 'https://api.spotify.com/v1/tracks/2lS7EowakQLS1NkRj0acbM', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2lS7EowakQLS1NkRj0acbM', 'duration_ms': 207640, 'time_signature': 4}"
2kGREtey4qDNjVtAqnnfS8,Fireworks,6ngMbvXa9lkh6ArCCuw0LQ,Axelle,21,"{'danceability': 0.737, 'energy': 0.563, 'key': 7, 'loudness': -7.108, 'mode': 1, 'speechiness': 0.0345, 'acousticness': 0.236, 'instrumentalness': 2.7e-06, 'liveness': 0.0923, 'valence': 0.616, 'tempo': 82.011, 'type': 'audio_features', 'id': '2kGREtey4qDNjVtAqnnfS8', 'uri': 'spotify:track:2kGREtey4qDNjVtAqnnfS8', 'track_href': 'https://api.spotify.com/v1/tracks/2kGREtey4qDNjVtAqnnfS8', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2kGREtey4qDNjVtAqnnfS8', 'duration_ms': 177687, 'time_signature': 4}"
1ng5jtfyr1MaEfmKvsXw48,Diamonds (feat. TAEYONG),1mORehSVEd7lcaT2d7Sl2K,SURAN,33,"{'danceability': 0.654, 'energy': 0.793, 'key': 0, 'loudness': -4.286, 'mode': 0, 'speechiness': 0.145, 'acousticness': 0.567, 'instrumentalness': 0, 'liveness': 0.143, 'valence': 0.397, 'tempo': 106.85, 'type': 'audio_features', 'id': '1ng5jtfyr1MaEfmKvsXw48', 'uri': 'spotify:track:1ng5jtfyr1MaEfmKvsXw48', 'track_href': 'https://api.spotify.com/v1/tracks/1ng5jtfyr1MaEfmKvsXw48', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1ng5jtfyr1MaEfmKvsXw48', 'duration_ms': 191816, 'time_signature': 4}"
7q92TuZKxN4C2FRZuWU8yY,선물을 고르며 (A Gift!),5HenzRvMtSrgtvU16XAoby,Zion.T,30,"{'danceability': 0.637, 'energy': 0.533, 'key': 2, 'loudness': -7.93, 'mode': 1, 'speechiness': 0.032, 'acousticness': 0.524, 'instrumentalness': 0.000115, 'liveness': 0.207, 'valence': 0.345, 'tempo': 96.035, 'type': 'audio_features', 'id': '7q92TuZKxN4C2FRZuWU8yY', 'uri': 'spotify:track:7q92TuZKxN4C2FRZuWU8yY', 'track_href': 'https://api.spotify.com/v1/tracks/7q92TuZKxN4C2FRZuWU8yY', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7q92TuZKxN4C2FRZuWU8yY', 'duration_ms': 237349, 'time_signature': 4}"
2oBMZYteeO8DyXV9gDx6Za,Feel My Rhythm,1z4g3DjTBBZKhvAroFlhOM,Red Velvet,66,"{'danceability': 0.412, 'energy': 0.94, 'key': 1, 'loudness': -2.171, 'mode': 1, 'speechiness': 0.215, 'acousticness': 0.0648, 'instrumentalness': 0, 'liveness': 0.358, 'valence': 0.423, 'tempo': 157.964, 'type': 'audio_features', 'id': '2oBMZYteeO8DyXV9gDx6Za', 'uri': 'spotify:track:2oBMZYteeO8DyXV9gDx6Za', 'track_href': 'https://api.spotify.com/v1/tracks/2oBMZYteeO8DyXV9gDx6Za', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2oBMZYteeO8DyXV9gDx6Za', 'duration_ms': 210253, 'time_signature': 4}"
5SbVAjEbm6YS9qF8m8EYGD,Adrenaline,6FkhUhUwSPl3mGB6mmE8wn,CRAVITY,44,"{'danceability': 0.734, 'energy': 0.929, 'key': 10, 'loudness': -2.481, 'mode': 0, 'speechiness': 0.177, 'acousticness': 0.0238, 'instrumentalness': 0, 'liveness': 0.107, 'valence': 0.759, 'tempo': 115.05, 'type': 'audio_features', 'id': '5SbVAjEbm6YS9qF8m8EYGD', 'uri': 'spotify:track:5SbVAjEbm6YS9qF8m8EYGD', 'track_href': 'https://api.spotify.com/v1/tracks/5SbVAjEbm6YS9qF8m8EYGD', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5SbVAjEbm6YS9qF8m8EYGD', 'duration_ms': 194040, 'time_signature': 4}"
